"South Station Total Departures: 26,555",,,,,,,,,,,,,,,,,
5,Tremont St. / West St.,617,,,,,,,,,,,,,,,
6,Newbury St. / Hereford St. ,579,,,,,,,,,,,,,,,
7,Stuart St. at Charles St. ,556,,,,,,,,,,,,,,,
8,Beacon St. / Mass Ave,541,,,,,,,,,,,,,,,
9,Fanueil Hall - Union St. at North St. ,539,,,,,,,,,,,,,,,
10,The Esplanade - Beacon St. at Arlington St. ,535,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Boylston St. at Arlington St. Total Departures: 16,366",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Top Arrival Stations,,,,,,,,,,,,,,,,,
1,Boylston St. at Arlington St. ,1568,,,,,,,,,,,,,,,
2,South Station - 700 Atlantic Ave.,1273,,,,,,,,,,,,,,,
3,TD Garden - Legends Way,706,,,,,,,,,,,,,,,
4,Newbury St. / Hereford St. ,694,,,,,,,,,,,,,,,
5,Boston Public Library - 700 Boylston St. ,618,,,,,,,,,,,,,,,
6,Rowes Wharf - Atlantic Ave.,567,,,,,,,,,,,,,,,
7,Kenmore Sq. /Comm Ave,526,,,,,,,,,,,,,,,
8,Charles Circle - Charles St. at Cambridge St. ,482,,,,,,,,,,,,,,,
9,Tremont St. / West St. ,453,,,,,,,,,,,,,,,
10,Mayor Thomas M. Menino  - Government Center,432,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Back Bay / South End Station Total Departures: 14,456",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Top Arrival Stations,,,,,,,,,,,,,,,,,
1,Washington St. at Rutland St. ,1253,,,,,,,,,,,,,,,
2,Tremont St / W Newton St. ,794,,,,,,,,,,,,,,,
3,Back Bay / South End Station,700,,,,,,,,,,,,,,,
4,Roxbury Crossing Station,663,,,,,,,,,,,,,,,
5,Columbus Ave. at Mass Ave.,659,,,,,,,,,,,,,,,
6,Christian Science Plaza,594,,,,,,,,,,,,,,,
7,Washington St. at Waltham St. ,479,,,,,,,,,,,,,,,
8,Prudential Center / Belvidere,429,,,,,,,,,,,,,,,
9,Boston Medical Center - 721 Mass. Ave,399,,,,,,,,,,,,,,,
10,Stuart St. at Charles St. ,394,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Charles Circle - Charles St. at Cambridge St. Total Departures: 13,616",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Top Arrival Stations,,,,,,,,,,,,,,,,,
1,Charles Circle - Charles St. at Cambridge St.,1479,,,,,,,,,,,,,,,
2,Boston Public Library - 700 Boylston St.,869,,,,,,,,,,,,,,,
3,Beacon St / Mass Ave,770,,,,,,,,,,,,,,,
4,TD Garden - Legends Way,551,,,,,,,,,,,,,,,
5,Boylston St. at Arlington St. ,549,,,,,,,,,,,,,,,
6,The Esplanade - Beacon St. at Arlington St. ,462,,,,,,,,,,,,,,,
7,Kenmore Sq / Comm Ave,446,,,,,,,,,,,,,,,
8,Stuart St. at Charles St.,418,,,,,,,,,,,,,,,
9,Cross St. at Hanover St. ,409,,,,,,,,,,,,,,,
10,Mayor Thomas M. Menino - Government Center,326,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Kenmore Square / Comm Ave. Total Departures: 13,108",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Top Arrival Stations,,,,,,,,,,,,,,,,,
1,Agganis Arena - 925 Comm. Ave.,1066,,,,,,,,,,,,,,,
2,Kenmore Sq / Comm Ave,956,,,,,,,,,,,,,,,
3,B.U. Central - 725 Comm Ave,951,,,,,,,,,,,,,,,
4,Packard's Corner - Comm. Ave at Brighton Ave. ,829,,,,,,,,,,,,,,,
5,Boston Public Library - 700 Boylston St. ,503,,,,,,,,,,,,,,,
6,Boylston St. at Arlington St. ,469,,,,,,,,,,,,,,,
7,Landmark Centre,452,,,,,,,,,,,,,,,
8,Charles Circle - Charles St. at Cambridge St.,417,,,,,,,,,,,,,,,
9,Newbury St / Hereford St.,389,,,,,,,,,,,,,,,
10,The Esplanade - Beacon St. at Arlington St.,385,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Beacon St. / Mass Ave. Total Departures: 12,589",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Top Arrival Stations,,,,,,,,,,,,,,,,,
1,Beacon St. / Mass. Ave,1322,,,,,,,,,,,,,,,
2,Charles Circle - Charles St. at Cambridge St.,660,,,,,,,,,,,,,,,
3,Boston Public Library - 700 Boylston St.,618,,,,,,,,,,,,,,,
4,Kenmore Sq. / Comm Ave,545,,,,,,,,,,,,,,,
5,Boylston St. at Arlington St.,455,,,,,,,,,,,,,,,
6,MIT at Mass Ave / Amherst St.,446,,,,,,,,,,,,,,,
7,The Esplanade - Beacon St. at Arlington St.,384,,,,,,,,,,,,,,,
8,TD Garden - Legends Way,333,,,,,,,,,,,,,,,
9,Christian Science Plaza,324,,,,,,,,,,,,,,,
10,Boylston / Mass Ave,308,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Lewis Wharf - Atlantic Ave. Total Departures: 12,288",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Top Arrival Stations,,,,,,,,,,,,,,,,,
1,South Station - 700 Atlantic Ave.,2369,,,,,,,,,,,,,,,
2,Rowes Wharf - Atlantic Ave,895,,,,,,,,,,,,,,,
3,Lewis Wharf - Atlantic Ave.,876,,,,,,,,,,,,,,,
4,TD Garden - Legends Way,656,,,,,,,,,,,,,,,
5,Post Office Square,524,,,,,,,,,,,,,,,
6,Congress / Sleeper,473,,,,,,,,,,,,,,,
7,Seaport Square - Seaport Blvd. at Boston Wharf,464,,,,,,,,,,,,,,,
8,Fanueil Hall - Union St. at North St. ,448,,,,,,,,,,,,,,,
9,Aquarium Station - 200 Atlantic Ave.,431,,,,,,,,,,,,,,,
10,Chinatown Gate Plaza - Surface Rd. at Beach St. ,413,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Newbury St. / Hereford St. Total Departures: 12,262",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Top Arrival Stations,,,,,,,,,,,,,,,,,
1,Newbury St. / Hereford St. ,1159,,,,,,,,,,,,,,,
2,Boylston St. at Arlington St.,626,,,,,,,,,,,,,,,
3,Boston Public Library - 700 Boylston St. ,549,,,,,,,,,,,,,,,
4,Washington St. at Rutland St.,465,,,,,,,,,,,,,,,
5,Kenmore Sq / Comm Ave.,437,,,,,,,,,,,,,,,
6,Yawkey Way at Boylston St. ,397,,,,,,,,,,,,,,,
7,Packard's Corner - Comm Ave. at Brighton Ave.,361,,,,,,,,,,,,,,,
8,Charles Circle - Charles St. at Cambridge St.,322,,,,,,,,,,,,,,,
9,Landmark Centre,307,,,,,,,,,,,,,,,
10,Stuart St. at Charles St. ,299,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
